NE|Ack|Source|Severity|RaisedTime|ClearedTime|ServiceImpairment|TroubleCauseCorrelation|Description|Duration|AID
//Network/N220-N228/N224|false|N224 (10.12.17.224)|Major|2025-06-02 14:54:50 CEST|alarm still active|NSA|PRM|Loss of Signal|1m 6s|SC-1-3-NE
//Network/N220-N228/N224|false|N224 (10.12.17.224)|Warning|2025-06-02 14:54:50 CEST|alarm still active|SA|PRM|OOS Disabled|1m 9s|CH-2-16-N4
//Network/N220-N228/N224|false|N224 (10.12.17.224)|Warning|2025-06-02 14:54:40 CEST|alarm still active|SA|PRM|OOS Disabled|1m 18s|CH-2-16-N3
//Network/N220-N228/N224|false|N224[OL-2] --- N225[OL-1] [N224 (10.12.17.224)]|Critical|2025-06-02 14:54:40 CEST|alarm still active|SA|PRM|Fiber break (presumed due to LOS on all paths this fiber carries)|1m 14s|
//Network/N220-N228/N225|false|N225 (10.12.17.225)|Major|2025-06-02 14:54:40 CEST|alarm still active|NSA|PRM|Loss of Signal|1m 16s|SC-1-4-NW
//Network/N220-N228/N225|false|N224[OL-2] --- N225[OL-1] [N225 (10.12.17.225)]|Critical|2025-06-02 14:54:40 CEST|alarm still active|SA|RDN|Fiber break (presumed due to LOS on all paths this fiber carries)|1m 14s|
